"Source:","D:\Usuarios\Leonardo_Principal\Documentos\Teste_Sillion\PlacaTeste_Sillion\PlacaTeste_Sillion.kicad_sch"
"Date:","10/10/2023 11:27:14"
"Tool:","Eeschema 7.0.8"
"Generator:","D:\kicad\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","34"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","Height","Manufacture_Part_Number","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock"
"1","1","C1","10uF","SamacSys_Parts:EEE-FTH100UAR","SamacSys_Parts:EEE1AA220WR","http://industrial.panasonic.com/cdbs/www-data/pdf/RDE0000/ABA0000C1240.pdf","","5.5","","Panasonic","EEE-FTH100UAR","667-EEE-FTH100UAR","https://www.mouser.co.uk/ProductDetail/Panasonic/EEE-FTH100UAR?qs=CMJjuEs1%252BuHShVFRjhUJug%3D%3D"
"2","7","C2, C3, C4, C5, C6, C9, C10","100nF","SamacSys_Parts:VJ0805Y104MXAMR","SamacSys_Parts:CAPC2012X145N","http://www.vishay.com/docs/45226/vj31xrohsautomlcc.pdf","","1.45","","Vishay","VJ0805Y104MXAMR","77-VJ0805Y104MXAMR","https://www.mouser.co.uk/ProductDetail/Vishay-Vitramon/VJ0805Y104MXAMR?qs=tXmISY13bxfWmt89zxE%2FDw%3D%3D"
"3","2","C7, C8","22pF","SamacSys_Parts:08055A220FAT2A","SamacSys_Parts:CAPC2012X94N","https://datasheets.kyocera-avx.com/C0GNP0-Dielectric.pdf","","0.94","","AVX","08055A220FAT2A","581-08055A220FAT2A","https://www.mouser.co.uk/ProductDetail/AVX/08055A220FAT2A?qs=owscpGBW86W1eHk5tzJ5LQ%3D%3D"
"4","1","D1","SBRT5A50SA-13","SamacSys_Parts:SBRT5A50SA-13","SamacSys_Parts:DIOM5226X240N","https://www.diodes.com/assets/Datasheets/SBRT5A50SA.pdf","","2.4","","Diodes Inc.","SBRT5A50SA-13","621-SBRT5A50SA-13","https://www.mouser.co.uk/ProductDetail/Diodes-Incorporated/SBRT5A50SA-13?qs=vkMqrgFpRag7x5vFbCZKYg%3D%3D"
"5","1","DS1","WC1602A","Display_Character:WC1602A","Display:WC1602A","http://www.wincomlcd.com/pdf/WC1602A-SFYLYHTC06.pdf","","","","","","",""
"6","1","F1","2A","SamacSys_Parts:39512000000","SamacSys_Parts:39512000000","https://www.littelfuse.com/~/media/electronics/datasheets/fuses/littelfuse_fuse_395_datasheet.pdf.pdf","","8","","LITTELFUSE","39512000000","576-3951200000","https://www.mouser.co.uk/ProductDetail/Littelfuse/39512000000?qs=bEWkMhb0NhMa1wvI8W3uTQ%3D%3D"
"7","1","J1","Power","SamacSys_Parts:1731721","SamacSys_Parts:1731721","http://www.phoenixcontact.com/de/produkte/1731721/pdf","","18.2","","Phoenix Contact","1731721","651-1731721","https://www.mouser.co.uk/ProductDetail/Phoenix-Contact/1731721?qs=Hp4IEBVVqKLHS2iTGzgL4g%3D%3D"
"8","1","J2","FTDI","SamacSys_Parts:HTSW-106-07-T-S","SamacSys_Parts:HDRV6W64P0X254_1X6_1524X254X838P","http://suddendocs.samtec.com/catalog_english/htsw_th.pdf","","8.38","","SAMTEC","HTSW-106-07-T-S","200-HTSW10607TS","https://www.mouser.co.uk/ProductDetail/Samtec/HTSW-106-07-T-S?qs=0lQeLiL1qyaHcVArKisLKg%3D%3D"
"9","1","J3","ICSP","SamacSys_Parts:TSW-103-23-T-D","SamacSys_Parts:HDRV6W64P254_2X3_762X508X838P","http://suddendocs.samtec.com/catalog_english/tsw_th.pdf","","8.38","","SAMTEC","TSW-103-23-T-D","",""
"10","1","J4","5V DC MOTOR","SamacSys_Parts:1731721","SamacSys_Parts:1731721","http://www.phoenixcontact.com/de/produkte/1731721/pdf","","18.2","","Phoenix Contact","1731721","651-1731721","https://www.mouser.co.uk/ProductDetail/Phoenix-Contact/1731721?qs=Hp4IEBVVqKLHS2iTGzgL4g%3D%3D"
